localSpeciesId,GBIFSpeciesId,INaturalistSpeciesId,otherCatalogNumbers,scientificName,previousIdentifications,vernacularName,previousVernacularNames,family,isInvasive,isRare
48,1943388,1322847,4407453,"Carcharodus stauderi","Muschampia stauderi","אפורית הגלונית"," הספרית בלוטה",Hesperiidae,0,0
49,7762841,324088,,"Nymphalis polychloros",,"נימפית מגוונת",,Nymphalidae,0,0
50,8312017,347298,,"Satyrus ferula",,"סטירית מפויחת"," סטירית הרים",Nymphalidae,0,0
51,1949929,357291,,"Pyrgus serratulae",,"אפורית החמשן"," הספרית חמשן",Hesperiidae,0,0
52,11653847,630736,,"Pseudochazara thelephassa",,"סטירית מערות",,Nymphalidae,0,0
53,1919221,796579,4535289,"Elphinstonia penia","Euchloe penia","ירוק-כנף המנתור"," לבנין חורן",Pieridae,0,0
54,1925609,149019,,"Anthene amarah",,"שיטן אילתי"," כחליל אילת",Lycaenidae,0,0
55,11699351,1501692,,"Aricia isaurica",,"כחליל חיוור",,Lycaenidae,0,0
56,1950156,335225,,"Gomalia elma",,"אפורית האבוטילון"," הספרית אבוטילון",Hesperiidae,0,0
57,1898544,56225,,"Polygonia c-album",,"נימפית טוביה",,Nymphalidae,0,0
58,5137612,143294,,"Colias croceus",,"צהבוני התלתן","לבנין צהוב | לבנין התלתן",Pieridae,0,0
59,8001799,155030,,"Limenitis reducta",,"אצילית היערה"," נמפית יערה",Nymphalidae,0,0
60,8225376,56529,,"Papilio machaon",,"זנב סנונית נאה",,Papilionidae,0,0
61,1938069,51583,,"Papilio demoleus",,"זנב סנונית הלימון",,Papilionidae,1,0
62,1938131,362809,,"Papilio alexanor",,"זנב סנונית המכבים",,Papilionidae,0,0
63,1803060,344823,,"Earias insulana",,"זיפית הכותנה",,Nolidae,0,0
64,8049830,52592,,"Pararge aegeria",,"חומית מנומרת","סטירית מנומרת",Nymphalidae,0,0
65,7633472,58468,,"Hesperia comma",,"נחושה לבנת-כתמים"," הספרית פסיק",Hesperiidae,0,0
66,8273661,128544,,"Thymelicus sylvestris",,"נחושת הנשרן"," הספרית נשרן",Hesperiidae,0,0
68,1929153,496917,,Lycaena,"Lycaena ochimus","נחושתן זהוב"," כחליל זהוב",Lycaenidae,0,0
69,1929697,55655,,"Lycaena phlaeas",,"נחושתן הארכובית","כחליל הארכובית",Lycaenidae,0,0
70,1945589,484040,,"Spialia phlomidis",,"נקדית החרמון"," הספרית חרמון",Hesperiidae,0,0
71,6203205,466039,1945597,"Spialia sertorius","Spialia orbifer | Spialia orbifer ssp. Hilaris","נקדית הורדיים"," הספרית פטל",Hesperiidae,0,0
72,4299368,48548,,"Vanessa cardui",,"נימפית החורשף","נימפית חורשף ",Nymphalidae,0,0
73,1898286,49133,,"Vanessa atalanta",,"נמפית הסרפד",,Nymphalidae,0,0
75,8168644,57495,,"Melitaea cinxia",,"כתמית הוורוניקה","נמפית הברוניקה",Nymphalidae,0,0
76,1899349,132890,"GBIF:7458419 | GBIF:9072535 | GBIF:5129858 | GBIF:4535806 | GBIF:1902169","Melitaea trivia","Papilio trivia | Melitaea trivia ssp. Nana | Hypodryas cynthia | Melitaea syriaca | Papilio cynthia","כתמית הבוצין","נימפית הבוצין | כיתמית בוצין ",Nymphalidae,0,0
77,1901850,147328,7810861,"Damora pandora","Argynnis pandora","כתמית פנדורה","נימפית פנדורה",Nymphalidae,0,0
78,9042695,465854,,"Melitaea telona","Melitaea ornata","כיתמית אריאל","נימפית ירושלים | כיתמית ירושלים",Nymphalidae,0,0
79,1945611,481320,,"Spialia doris",,"נקדית החבלבל"," הספרית חבלבל",Hesperiidae,0,0
80,1938214,62749,,"Iphiclides podalirius",,"סנוניתן הוורדיים","זנב סנונית הוורדיים | זנב סנונית הוורדניים",Papilionidae,0,0
81,1730978,200930,,"Zeuzera pyrina",,"ססעץ מנומר","סס הנמר",Cossidae,0,0
82,1853249,874280,,"Oiketicoides jordana","Amicta zelleri","ססתיק פרוע",,Psychidae,0,0
83,1854455,1199515,,"Phalacropterix bruandi",,"ססתיק שחור-חזה",,Psychidae,0,0
84,5107162,1139403,,"Zygaena olivieri",,"ססמבריק הלבנון",,Zygaenidae,0,0
85,5107076,458043,,"Zygaena graslini",,"ססמבריק אדמוני",,Zygaenidae,0,0
86,4535636,123629,,"Lasiommata maera",,"חומית היבלית","סטירית יבלית",Nymphalidae,0,0
87,1911633,496961,,"Pseudochazara pelopea",,"סטירית חרמונית"," סטירית לבנון",Nymphalidae,0,0
88,8208583,354746,,"Hyponephele lycaon",,"סטירית חיוורת"," סטירית חרמון",Nymphalidae,0,0
89,4535581,496960,,"Chazara persephone",,"סטירית טלואה"," סטירית פסים",Nymphalidae,0,0
90,4535632,147298,,"Lasiommata megera",,"חומית הציבורת","סטירית הציבורת",Nymphalidae,0,0
91,1918736,484115,,"Hipparchia fatua","Hipparchia fatua sichaea","סטירית אפלה","סטירית עמומה",Nymphalidae,0,0
92,5135546,466276,,"Maniola telmessia",,"סטירית פקוחה",,Nymphalidae,0,0
93,5141305,543513,,"Zerynthia deyrollei",,"צבעוני צהוב","צבעוני צהבהב",Papilionidae,0,0
94,1936969,94515,,"Archon apollinus",,"צבעון שקוף","צבעוני שקוף",Papilionidae,0,0
96,11712654,496914,,"Tomares nesimachus",,"צמריר הקדד"," כחליל קדד",Lycaenidae,0,0
97,1861510,56530,,"Acherontia atropos",,"רפרף גולגולת המת","עש גולגולת המת",Sphingidae,0,0
98,1861644,124031,,"Agrius convolvuli",,"רפרף החבלבל",,Sphingidae,0,0
99,1862517,319505,,"Theretra alecto",,"רפרף הגפן",,Sphingidae,0,0
100,1864652,56293,,"Macroglossum stellatarum",,"רפרף הדבקה",,Sphingidae,0,0
101,1862401,51996,,"Daphnis nerii",,"רפרף ההרדוף",,Sphingidae,0,0
102,1861673,362831,,"Marumba quercus",,"רפרף האלון",,Sphingidae,0,0
103,1862293,199458,,"Hippotion celerio",,"רפרף כסוף-קו",,Sphingidae,0,0
104,1862765,124215,,"Hyles livornica",,"רפרף מסורטט",,Sphingidae,0,0
105,1920218,61295,,"Aporia crataegi",,"רשתן העוזרר","לבנין העוזרר",Pieridae,0,0
106,4528100,332007,4528099,"Phthorimaea absoluta","Tuta absoluta","עש מנהרות העגבנייה",,Gelechiidae,0,0
107,1824130,496091,,"Thaumetopoea solitaria",,"תהלוכן האלה","טוואי האלה",Notodontidae,0,0
108,1732264,125026,,"Pachypasa otus",,"טוואי הברוש",,Lasiocampidae,0,0
109,1824113,417955,,"Thaumetopoea processionea",,"תהלוכן האלון","טוואי האלון",Notodontidae,0,0
110,11419254,1319997,9161223,"Bufoidia ledereri","Bombycopsis ledereri","טוואי אפרפר",,Lasiocampidae,0,0
111,6122092,780393,,"Orgyia dubia",,"טוואית הארכובית",,Erebidae,0,0
112,1734690,751560,,"Lasiocampa grandis",,"טוואי גדול","טואי גדול",Lasiocampidae,0,0
113,1808166,543620,,"Amata mestralii",,"ברדן בוהק",,Erebidae,0,0
114,5109843,370856,,"Spodoptera cilium",,"גדודנית הדגן",,Noctuidae,0,0
115,5109931,428994,,"Spodoptera littoralis",,"גדודנית פרודניה",,Noctuidae,0,0
116,8352161,231425,,"Spodoptera exigua",,"גדודנית לפיגמה","תולעת הגדוד של הסלק",Noctuidae,0,0
117,1861494,82830,,"Acherontia styx",,"גולגולת-מת מזרחית","רפרף גולגולת המת",Sphingidae,0,0
118,7642610,67835,,"Danaus chrysippus",,"דנאית הדורה","דנאית תפוח-סדום",Nymphalidae,0,0
119,1920357,446977,,"Colotis fausta",,"דרומי הצלף","לבנין הצלף",Pieridae,0,0
120,10062933,1039025,9089286,"Olepa ricini","Olepa schleini","דובון הקיקיון",,Erebidae,0,0
