Category,Scientific Name,Hebrew Name
פרפרים,Euchloe ausonia,ירוק-כנף טלוא
פרפרים,Euchloe belemia,ירוק-כנף מפוספס
פרפרים,Gonepteryx cleopatra,לימוני האשחר
פרפרים,Gonepteryx rhamni,לימוני אירופי
פרפרים,Gonepteryx farinosa,לימונית החרמון
פרפרים,Pyrgus melotis,אפורית מזרחית
פרפרים,Junonia orithya,נימפית כחולה
פרפרים,Aricia agestis,כחליל הגרניון
פרפרים,Ypthima asterope,טבעית זוטית
פרפרים,Hipparchia pisidice,סטירית סיני
פרפרים,Pseudophilotes abencerragus,תכליל נבטי
פרפרים,Freyeria trochylus,כחליל מקושט
פרפרים,Glaucopsyche alexis,כחליל הדבשה
פרפרים,Melitaea phoebe,כתמית אירופית
פרפרים,Kirinia roxelana,חומנית עינונית
פרפרים,Maniola jurtina,סטירית הקיץ
פרפרים,Catopsilia pyranthe,Mottled Emigrant
פרפרים,Melitaea persea,נימפית פרסית
פרפרים,Deudorix livia,כחליל הרימון
פרפרים,Zegris eupheme,כתום-קצה מדברי
פרפרים,Polygonia egea,נימפית משוננת
פרפרים,Charaxes jasius,קיסרית הקטלב
פרפרים,Brephidium exilis,Western Pygmy-Blue
פרפרים,Philareta treitschkii,פילרטה טרייטשקיי
פרפרים,Colotis chrysonome,דרומי המרואה
חרקים אחרים,Earias insulana,זיפית הכותנה
חרקים אחרים,Zeuzera pyrina,ססעץ מנומר
חרקים אחרים,Oiketicoides jordana,ססתיק פרוע
חרקים אחרים,Phalacropterix bruandi,ססתיק שחור-חזה
חרקים אחרים,Zygaena olivieri,ססמבריק הלבנון
חרקים אחרים,Zygaena graslini,ססמבריק אדמוני
חרקים אחרים,Acherontia atropos,רפרף גולגולת המת
חרקים אחרים,Agrius convolvuli,רפרף החבלבל
חרקים אחרים,Theretra alecto,רפרף הגפן
חרקים אחרים,Macroglossum stellatarum,רפרף הדבקה
חרקים אחרים,Daphnis nerii,רפרף ההרדוף
חרקים אחרים,Marumba quercus,רפרף האלון
חרקים אחרים,Hippotion celerio,רפרף כסוף-קו
חרקים אחרים,Hyles livornica,רפרף מסורטט
חרקים אחרים,Phthorimaea absoluta,עש מנהרות העגבנייה
חרקים אחרים,Thaumetopoea solitaria,תהלוכן האלה
חרקים אחרים,Pachypasa otus,טוואי הברוש
חרקים אחרים,Thaumetopoea processionea,תהלוכן האלון
חרקים אחרים,Bufoidia ledereri,טוואי אפרפר
חרקים אחרים,Orgyia dubia,טוואית הארכובית
חרקים אחרים,Lasiocampa grandis,טוואי גדול
חרקים אחרים,Amata mestralii,ברדן בוהק
חרקים אחרים,Spodoptera cilium,גדודנית הדגן
חרקים אחרים,Spodoptera littoralis,גדודנית פרודניה
חרקים אחרים,Spodoptera exigua,גדודנית לפיגמה
חרקים אחרים,Acherontia styx,גולגולת-מת מזרחית
חרקים אחרים,Olepa ricini,דובון הקיקיון
חרקים אחרים,Ocnogyna loewii,דובון אביב
חרקים אחרים,Paidia cinerascens,דובון אפרפר
חרקים אחרים,Cymbalophora oertzeni,דובון מנומר
חרקים אחרים,Utetheisa pulchella,דובון יפהפה
חרקים אחרים,Duponchelia fovealis,עש הרקפת
חרקים אחרים,Phereoeca uterella,עש הבית
חרקים אחרים,Cydia pomonella,עש התפוח
חרקים אחרים,Thaumatotibia leucotreta,עש התפוח המדומה
חרקים אחרים,Lobesia botrana,עש האשכול
חרקים אחרים,Palpita vitrealis,עש היסמין
חרקים אחרים,Ectomyelois ceratoniae,עש החרוב
חרקים אחרים,Uresiphita gilvata,עשנור הרותם
חרקים אחרים,Plodia interpunctella,עש הקמח ההודי
חרקים אחרים,Plutella xylostella,עשית המצליבים
חרקים אחרים,Chrysodeixis chalcites,פלוסית זהובה
חרקים אחרים,Autographa gamma,פלוסית גמה
חרקים אחרים,Cucullia calendulae,תנשמית ציפורני חתול
חרקים אחרים,Acronicta rumicis,תנשמית החומעה
חרקים אחרים,Catocala elocata,תנשמית הצפצפה
חרקים אחרים,Olivenebula subsericata,תנשמית העוזרר
חרקים אחרים,Helicoverpa armigera,תנשמית האביב
חרקים אחרים,Heliothis peltigera,תנשמית המורכבים
חרקים אחרים,Hypena lividalis,תנשמית עשנורית
חרקים אחרים,Euchalcia paulina,תנשמית פאולוס
חרקים אחרים,Episema tamardayanae,תנשמית תמר
חרקים אחרים,Acronicta aceris,תנשמית יהודה
חרקים אחרים,Thaumetopoea wilkinsoni,תהלוכן האורן
חרקים אחרים,Saturnia pyri,שבתאי השקד
חרקים אחרים,Agrotis segetum,אגרוטיס השורשים
חרקים אחרים,Noctua pronuba,אגרוטיס כתום
חרקים אחרים,Scopula luridata,מודד צהוב
חרקים אחרים,Larentia clavaria,מודד החלמית
חרקים אחרים,Proteuchloris neriaria,מודד הבלקן
חרקים אחרים,Zamarada torrida,מודד השיטים
חרקים אחרים,Rhodometra sacraria,מודד הארכוביות
חרקים אחרים,Ascotis selenaria,מודד האבוקדו
חרקים אחרים,Problepsis ocellata,מודד עינוני
חרקים אחרים,Selidosema combustaria,מודד פאולוס
חרקים אחרים,Apochima flabellaria,מודד קיפודי
חרקים אחרים,Ctenoplusia accentifera,קטנופלוסיה אקסנטיפרה
חרקים אחרים,Tathorhynchus exsiccata,טאתורינכוס אקסיקטה
חרקים אחרים,Cadra cautella,קדרה קאוטלה
חרקים אחרים,Phlogophora meticulosa,פלוגופורה מטיקולוסה
חרקים אחרים,Agrochola lychnidis,אגרוקולה ליכנידיס
חרקים אחרים,Amblyptilia acanthadactyla,אמבליפטילייה אקנתדקטילה
חרקים אחרים,Loxostege sticticalis,לוקסוסטגה סטיקטיקליס
חרקים אחרים,Aporophyla nigra,אפורופילה ניגרה
חרקים אחרים,Garella nilotica,גארלה נילוטיקה
חרקים אחרים,Cyclophora puppillaria,ציקלופורה פופילריה
חרקים אחרים,Hypena obsitalis,היפנה אובסיטליס
חרקים אחרים,Idaea ochrata,אידאה אוכרטה
חרקים אחרים,Trichoplusia ni,טריכופלוסיה ני
חרקים אחרים,Tinea pellionella,טינאה פליונלה
חרקים אחרים,Atethmia centrago,אתתמיה צנטראגו
חרקים אחרים,Cucullia chamomillae,קוקוליה כממילה
חרקים אחרים,Bryotropha terrella,בריוטרופה טרלה
חרקים אחרים,Phyllocnistis citrella,פילוקניסטיס ציטרלה
חרקים אחרים,Hypsopygia costalis,היפסופוגיה קוסטליס
חרקים אחרים,Gypsonoma dealbana,גיפסונומה דיאלבנה
חרקים אחרים,Blastesthia tessulatana,עשפרי הברוש
חרקים אחרים,Epicallia villica,דובון החורש
חרקים אחרים,Agrotis trux,אגרוטיס טרוקס
חרקים אחרים,Leucania putrescens,לוקניה פוטרסנס
חרקים אחרים,Collita griseola,איילמה גריסאולה
חרקים אחרים,Gymnoscelis rufifasciata,גימנוסליס רופיפסיאטה
חרקים אחרים,Endothenia oblongana,אנדותניה אובלונגנה
חרקים אחרים,Tephronia sepiaria,טפרוניה ספיאריה
חרקים אחרים,Heliothis nubigera,הליאוטיס נוביגרה
חרקים אחרים,Cornutiplusia circumflexa,קורנוטיפלוסיה סירקומפלקסה
חרקים אחרים,Ostrinia nubilalis,נובר התירס האירופי
חרקים אחרים,Tyta luctuosa,טיטה לוקטואוסה
חרקים אחרים,Oegoconia quadripuncta,אגוקוניה מרובעת
חרקים אחרים,Xanthorhoe fluctuata,קסנתורה פלוקטטה
חרקים אחרים,Anania verbascalis,אנניה ורבסקליס
חרקים אחרים,Herpetogramma licarsisalis,הרפטוגרמה ליקרסיסליס
חרקים אחרים,Agrotis bigramma,אגרוטיס ביגרמה
חרקים אחרים,Galleria mellonella,עש השעווה הגדול
חרקים אחרים,Ophiusa tirhaca,אופיוסה טירקא
חרקים אחרים,Adscita statices,אדסקיטה סטטיקס
חרקים אחרים,Agrotis spinifera,אגרוטיס ספיניפרה
חרקים אחרים,Agrotis catalaunensis,אגרוטיס קטלאוננסיס
חרקים אחרים,Spoladea recurvalis,ספולאדאה רקורבליס
חרקים אחרים,Nemophora fasciella,נמופורה פסיאלה
חרקים אחרים,Pyrausta testalis,הודברטיה טסטליס
חרקים אחרים,Acanthovalva inconspicuaria,אקנתובלבה אינקונספיקואריה
חרקים אחרים,Agrotis ipsilon,אגרוטיס איפסילון
חרקים אחרים,Pseudoterpna coronillaria,פסאודוטרפנה קורונילריה
חרקים אחרים,Euplagia quadripunctaria,יופלגיה קוואדריפונקטריה
חרקים אחרים,Dysgonia torrida,דיסגוניה טוררידה
חרקים אחרים,Lantanophaga pusillidactylus,לנטנופגה פוסילדקטילוס
חרקים אחרים,Batia lunaris,בטיה לונריס
חרקים אחרים,Achroia grisella,עש הדונג הקטן
חרקים אחרים,Agrotis cinerea,אגרוטיס סינראיה
חרקים אחרים,Eupithecia centaureata,אופיטסיה צנטאוראטה
חרקים אחרים,Cydia splendana,צידיה ספלנדנה
חרקים אחרים,Pyralis farinalis,עש הקמח
חרקים אחרים,Pyrausta aurata,פיראוסטה אורטה
חרקים אחרים,Emmelina monodactyla,עשנוצית החבלבל
חרקים אחרים,Cucullia verbasci,תנשמית הבוצין
חרקים אחרים,Hellula undalis,הלולה אונדליס
חרקים אחרים,Peribatodes umbraria,פריבטודס אומברריה
חרקים אחרים,Achyra nudalis,אכירה נודליס
חרקים אחרים,Spodoptera litura,ספודופטרה ליטורה
חרקים אחרים,Hydriris ornatalis,הידריריס אורנטליס
חרקים אחרים,Acontia lucida,אקונטיה לוסידה
חרקים אחרים,Chloantha hyperici,כלאונתה היפריסי
חרקים אחרים,Anarsia lineatella,אנרסיה ליניאטלה
חרקים אחרים,Eublemma cochylioides,אובלמה קוכילואידס
חרקים אחרים,Pechipogo plumigeralis,Plumed Fan-foot
חרקים אחרים,Idaea degeneraria,Portland Ribbon Wave
חרקים אחרים,Phragmataecia castaneae,ססעץ הקנים
חרקים אחרים,Isturgia exerraria,איסטורגיה אקסרריה
חרקים אחרים,Endotricha flammealis,אנדוטריכה פלממליס
חרקים אחרים,Oncocera semirubella,אונקוצרה סמירובלה
חרקים אחרים,Phragmatobia fuliginosa,פרגמטובייה פוליגינוזה
חרקים אחרים,Nomophila noctuella,נומופילה נוקטואלה
חרקים אחרים,Udea ferrugalis,אודאה פרוגינליס
חרקים אחרים,Idaea inquinata,אידאה אינקווינאטה
חרקים אחרים,Idaea subsericeata,אידאה סובסריקטטה
חרקים אחרים,Pyrausta sanguinalis,פיראוסטה סנגווינליס
חרקים אחרים,Antigastra catalaunalis,אנטיגסטרה קטלאונליס
חרקים אחרים,Agrotis puta,אגרוטיס פוטה
חרקים אחרים,Thysanoplusia orichalcea,טיסנופלוסיה אוריכלקאה
חרקים אחרים,Scopula imitaria,סקופולה אימיטריה
חרקים אחרים,Eublemma parva,אובלמה קטנה
חרקים אחרים,Agrotis herzogi,אגרוטיס הרצוגי
חרקים אחרים,Earias biplaga,איאריס ביפלגה
חרקים אחרים,Lymantria dispar,טוואית האלון
חרקים אחרים,Acontia trabealis,אקונטיה טרבאליס
חרקים אחרים,Phyllonorycter blancardella,פילונוריקטר בלנקארדלה
חרקים אחרים,Xestia xanthographa,קססטיה קסנתוגרפה
חרקים אחרים,Cynaeda dentalis,צינאדה דנטליס
חרקים אחרים,Aglossa caprealis,אגלוסה קפריאליס
חרקים אחרים,Vittaplusia vittata,ויטאפלוסיה ויטאטה
חרקים אחרים,Esperia sulphurella,אספריה סולפורלה
חרקים אחרים,Chiasmia aestimaria,כיאסמיה אסטימריה
חרקים אחרים,Eutelia adulatrix,אאוטליה אדולטריקס
חרקים אחרים,Leucania loreyi,לוקניה לוריי
חרקים אחרים,Dysgonia algira,דיסגוניה אלגירה
חרקים אחרים,Lamoria anella,עשנור התפוח
חרקים אחרים,Myelois circumvoluta,מיילואיס סירקומבולוטה
חרקים אחרים,Pyralis manihotalis,פירליס מניהוטליס
חרקים אחרים,Grammodes bifasciata,גרמוודס ביפסיאטה
חרקים אחרים,Pseudozarba bipartita,פסאודוזרבה ביפרטיטה
חרקים אחרים,Synclera traducalis,סינקלרה טרדוקליס
חרקים אחרים,Ethmia bipunctella,אתמיה ביפונקטלה
חרקים אחרים,Mythimna unipuncta,מיתימנה יוניפונקטה
חרקים אחרים,Peribatodes rhomboidaria,פריבטודס רומבוידריה
חרקים אחרים,Aspitates ochrearia,אספיטטס אוקרריה
חרקים אחרים,Achlya flavicornis,אכליה פלביקורניס
חרקים אחרים,Evergestis isatidalis,אברגסטיס איסאטידליס
