Unmatched species from master-species-map.ts after join with species_master_list.csv
Total unmatched: 1762

Cydnus aterrimus
Cylindromyia brassicaria
Cynanchum acutum
Cynara syriaca
Cynodon dactylon
Cynoglossum creticum
Cyperus longus
Cyperus rotundus
Cyprinus carpio
Cyrba algerina
Daboia palaestinae
Dactylopius opuntiae
Dailognatha crenata
Datura innoxia
Datura stramonium
Daucus carota
Deconica merdaria
Decticus albifrons
Delphinium ithaburense
Delphinium peregrinum
Delta dimidiatipenne
Depressaria ululana
Deroceras laeve
Dianthus strictus
Dicrognophos sartata
Dictyophara xiphias
Dieuches syriacus
Diloba caeruleocephala
Dinebra retroflexa
Dionconotus neglectus
Dioryctria mendacella
Dioscorea communis
Diplachne fusca
Diplotaxis erucoides
Distoleon tetragrammicus
Dittrichia graveolens
Dittrichia viscosa
Dodonaea viscosa
Dolicharthria stigmosalis
Dolichophis jugularis
Dolichophron cylindromorphum
Dolycoris baccarum
Dorylus fulvus
Draba minima
Draba verna
Drimia aphylla
Dryobotodes carbonis
Dryobotodes tenebrosa
Dysauxes famula
Dysdera westringi
Dysphania ambrosioides
Ecballium elaterium
Echinops adenocaulos
Echium angustifolium
Echium glomeratum
Echium judaeum
Eclipta prostrata
Ectomocoris melanogaster
Edosa varians
Egira tibori
Eilema caniola
Eilema muscula
Eirenis lineomaculatus
Eirenis rothii
Elanus caeruleus
Eleusine indica
Ematheudes punctella
Emberiza calandra
Eminium spiculatum
Empusa fasciata
Enolmis acanthella
Eopolita protensa jebusitica
Ephedra foeminea
Ephestia elutella
Epilobium hirsutum
Epinotia thapsiana
Episema didymogramma
Episyrphus balteatus
Erigeron bonariensis
Erigeron sumatrensis
Erinaceus concolor
Eristalinus taeniops
Eristalis tenax
Erithacus rubecula
Erodium gruinum
Erodium malacoides
Erodium moschatum
Eruca vesicaria
Eryngium creticum
Eublemma albina
Eublemma gayneri
Eublemma gratissima
Eublemma ostrina
Euborellia annulipes
Euborellia femoralis
Eucera nigrilabris
Eudonia speideli
Eulasia vittata lineata
Eumeces schneiderii
Eumeces schneiderii pavimentatus
Eupeodes corollae
Euphorbia aleppica
Euphorbia exigua
Euphorbia graminea
Euphorbia helioscopia
Euphorbia hierosolymitana
Euphorbia hypericifolia
Euphorbia oxyodonta
Euphorbia peplus
Euphorbia reuteriana
Euphorbia serpens
Eupithecia dodoneata
Eupithecia unedonata
Eurydema ornata
Eurygaster integriceps
Eusparassus walckenaeri
Evarcha nepos
Evarcha patagiata
Exoacantha heterophylla
Exosoma thoracicum
Eyprepocnemis plorans
Falco tinnunculus
Fannia canicularis
Felis catus
Festella festae
Ficus carica
Foeniculum vulgare
Forficula lurida
Forficula smyrnensis
Fringilla coelebs
Fritillaria persica
Frontinellina frutetorum
Fulica atra
Fumana arabica
Fumaria densiflora
Fumaria judaica
Gagea chlorantha
Gagea commutata
Gagea rigida
Galerida cristata
Gallinago gallinago
Gallinula chloropus
Gambusia holbrooki
Garrulus glandarius
Garrulus glandarius atricapillus
Geranium dissectum
Geranium molle
Geranium purpureum
Geranium rotundifolium
Geropogon hybridus
Gladiolus italicus
Glebionis coronaria
Glebionis segetum
Glinus lotoides
Gloeophyllum abietinum
Gnopharmia stevenaria
Grammodes stolida
Graphosoma italicum
Graphosoma semipunctatum
Grus grus
Gryllus bimaculatus
Gundelia tournefortii
Habrocestum nahalit
Halcyon smyrnensis
Harmonia quadripunctata
Harpyia milhauseri
Hasarius adansoni
Hecatera weissi
Hedypnois rhagadioloides
Helcystogramma lamprostoma
Helianthemum aegyptiacum
Helianthemum salicifolium
Helianthus annuus
Helichrysum sanguineum
Heliophanus kochii
Heliotropium bovei
Heliotropium rotundifolium
Heliotropium supinum
Helix engaddensis
Helosciadium nodiflorum
Hemelytroblatta africana
Hemidactylus turcicus
Hemiechinus auritus
Hemorrhois nummifer
Henosepilachna argus
Heptaptera anisopetala
Heremites vittatus
Heriaeus oblongus
Hermaeophaga ruficollis
Hermetia illucens
Herpestes ichneumon
Hersilia caudata
Heterocerus fenestratus
Heterogaster urticae
Heteropalpia profesta
Heterotheca subaxillaris
Hibiscus trionum
Hippodamia variegata
Hirschfeldia incana
Hirundo rustica
Hogna graeca
Hoplodrina ambigua
Hordeum bulbosum
Hordeum spontaneum
Hordeum vulgare distichon
Horistus turcomanus
Hottentotta judaicus
Hyacinthus orientalis
Hyalomma aegyptium
Hyalomma marginatum
Hyparrhenia hirta
Hypera postica
Hypeuthina fulgurita
Hypolixus pica
Hypsopygia fulvocilialis
Hypsopygia incarnatalis
Hystrix indica
Icerya purchasi
Idaea belemiata
Idaea camparia
Idaea detritaria
Idaea elongaria
Idaea mimosaria
Idaea tineata
Idaea troglodytaria
Iduna pallida
Iris oratoria
Ischnura elegans
Isophya savignyi
Isturgia perviaria
Italochrysa italica
Juncus acutus
Juncus rigidus
Kickxia aegyptiaca
Knautia integrifolia
Krubera peregrina
Labia minor
Lactuca serriola
Lactuca tuberosa
Lactuca viminea
Lamarckia aurea
Lamium moschatum
Lampyris nervosa
Langona oreni
Lanius senator
Larinus latus
Lathyrus annuus
Lathyrus blepharicarpos
Lathyrus hierosolymitanus
Lathyrus ochrus
Laudakia vulgaris
Laurus nobilis
Leiurus hebraeus
Lemonia beirutica
Leontodon tuberosus
Lepidurus apus
Lepus capensis
Letheobia simoni
Leucaena leucocephala
Leucania herrichii
Leucoagaricus pilatianus
Levantina spiriplana
Lilioceris merdigera
Limonium narbonense
Linaria chalepensis
Linum corymbulosum
Linum nodiflorum
Linum pubescens
Lixus anguinus
Lixus iridis
Lixus pulverulentus
Lomelosia prolifera
Lotus palustris
Lotus tetragonolobus
Loxosceles rufescens
Lucilia cuprina
Ludwigia adscendens
Ludwigia adscendens diffusa
Luperina dumerilii
Luperina rjabovi
Lupinus palaestinus
Lupinus pilosus
Luscinia svecica
Lycaena phlaeas timeus
Lycaena thersamon
Lycopus europaeus
Lycosoides coarctata
Lydus humeralis
Lydus tarsalis
Lyophyllum littorale
Lysimachia linum-stellatum
Lysimachia loeflingii
Lythrum junceum
Lythrum salicaria
Machimus setibarbus
Macroscytus brunneus
Malachius coccineus
Malpolon insignitus
Malva multiflora
Malva nicaeensis
Malva parviflora
Malva punctata
Malva sylvestris
Malva trimestris
Malvella sherardiana
Mandragora autumnalis
Mangora acalypha
Mantis religiosa
Mantispa scabricollis
Marasmius wynneae
Mauremys rivulata
Medicago lupulina
Medicago minima
Medicago orbicularis
Medicago polymorpha
Medicago rotata
Medicago scutellata
Medicago truncatula
Mediodactylus orientalis
Melampsora pulcherrima
Melanopsis buccinoidea
Melanortocarya obtusifolia
Meles canescens
